幀數,時間戳(秒),情緒,英文,信心度,X,Y,寬,高
30,1.0,悲傷,sad,0.4,75,176,207,207
60,2.0,開心,happy,0.408,58,158,206,206
90,3.0,開心,happy,0.396,36,142,202,202
120,4.0,開心,happy,0.635,28,151,198,198
150,5.0,驚訝,surprise,0.424,18,140,206,206
180,6.0,悲傷,sad,0.449,40,160,210,210
210,7.0,開心,happy,0.663,42,136,218,218
240,8.0,開心,happy,0.847,20,133,206,206
270,9.0,開心,happy,0.659,40,123,210,210
300,10.0,驚訝,surprise,0.37,53,113,229,229
330,11.0,開心,happy,0.453,69,123,230,230
360,12.0,驚訝,surprise,0.489,75,115,211,211
390,13.0,開心,happy,0.341,77,109,216,216
420,14.0,開心,happy,0.84,93,127,230,230
450,15.0,生氣,angry,0.26,38,96,220,220
480,16.0,驚訝,surprise,0.608,39,89,225,225
510,17.0,驚訝,surprise,0.411,87,85,213,213
540,18.0,開心,happy,0.64,86,144,204,204
570,19.0,生氣,angry,0.522,104,157,197,197
600,20.0,開心,happy,0.585,65,147,206,206
630,21.0,驚訝,surprise,0.59,66,137,198,198
660,22.0,開心,happy,0.438,21,117,207,207
690,23.0,開心,happy,0.773,18,128,201,201
720,24.0,開心,happy,0.852,19,113,202,202
750,25.0,驚訝,surprise,0.445,34,125,220,220
780,26.0,開心,happy,0.477,47,111,217,217
810,27.0,開心,happy,0.904,18,134,204,204
840,28.0,開心,happy,0.907,49,118,221,221
870,29.0,開心,happy,0.406,41,113,228,228
900,30.0,生氣,angry,0.359,98,116,210,210
930,31.0,驚訝,surprise,0.632,78,117,215,215
960,32.0,開心,happy,0.557,66,111,222,222
990,33.0,驚訝,surprise,0.55,50,112,222,222
1020,34.0,驚訝,surprise,0.665,61,97,233,233
1050,35.0,開心,happy,0.38,63,104,218,218
1080,36.0,開心,happy,0.533,67,115,225,225
1110,37.0,開心,happy,0.915,58,121,229,229
1140,38.0,開心,happy,0.966,60,112,215,215
1140,38.0,生氣,angry,0.507,223,480,93,93
1170,39.0,開心,happy,0.806,76,114,219,219
1200,40.0,驚訝,surprise,0.464,68,114,218,218
1230,41.0,開心,happy,0.466,75,115,220,220
1260,42.0,開心,happy,0.643,80,114,217,217
1290,43.0,驚訝,surprise,0.765,72,108,221,221
1320,44.0,開心,happy,0.424,48,106,224,224
1350,45.0,開心,happy,0.593,32,115,223,223
1380,46.0,開心,happy,0.881,71,120,214,214
1410,47.0,開心,happy,0.579,91,155,225,225
1440,48.0,開心,happy,0.731,119,161,211,211
1470,49.0,開心,happy,0.559,105,140,215,215
1500,50.0,開心,happy,0.386,94,141,211,211
